"ID","chromosome","location","distance2nearestTSS","nearestTSS.gene_id","nearestTSS","class","JSD_bit_10C","meth_10C","JSD_bit_16C","meth_16C","JSD_bit_22C","meth_22C","context","diff_16_10","diff_22_16","consistent_increase","consistent_decrease"
"2_2747661","2",2747661,312,"AT2G06840","AT2G06840.1","proximal <=500bp",0.763,0.346153846153846,0.759,0.452830188679245,0.724,0.486,"CHG",-0.004,-0.035,FALSE,TRUE
"2_2902707","2",2902707,105,"AT2G07010","AT2G07010.1","proximal <=500bp",0.998,0.473684210526316,0.909,0.5,0.8,0.510791366906475,"CHG",-0.089,-0.109,FALSE,TRUE
"2_3790203","2",3790203,1349,"AT2G10000","AT2G10000.1","intronic",0.892,0.580645161290323,0.8,0.576923076923077,0.721,0.570796460176991,"CHG",-0.092,-0.0790000000000001,FALSE,TRUE
"2_5709557","2",5709557,540,"AT2G13690","AT2G13690.1","proximal >500&<=1000bp",0.894,0.51063829787234,0.874,0.550847457627119,0.713,0.396995337592816,"CHG",-0.02,-0.161,FALSE,TRUE
"2_5982891","2",5982891,992,"AT2G14170","AT2G14170.1","proximal >500&<=1000bp",0.739,0.36078431372549,0.734,0.415384615384615,0.706,0.61701269905261,"CHG",-0.005,-0.028,FALSE,TRUE
"2_7257532","2",7257532,701,"AT2G16720","AT2G16720.1","proximal >500&<=1000bp",0.829,0.346938775510204,0.75,0.380281690140845,0.71,0.499384084749938,"CHG",-0.079,-0.04,FALSE,TRUE
"2_7602801","2",7602801,680,"AT2G17490","AT2G17490.1","proximal >500&<=1000bp",0.771,0.517142857142857,0.761,0.537604456824513,0.743,0.487022648371632,"CHG",-0.01,-0.018,FALSE,TRUE
"2_8997639","2",8997639,-811,"AT2G20920","AT2G20920.1","proximal >500&<=1000bp",0.829,0.571428571428571,0.8,0.539473684210526,0.742,0.474425500370645,"CHG",-0.0289999999999999,-0.058,FALSE,TRUE
"2_10198364","2",10198364,-1311,"AT2G23970","AT2G23970.1","intergenic",0.89,0.431818181818182,0.741,0.320388349514563,0.733,0.350847457627119,"CHG",-0.149,-0.00800000000000001,FALSE,TRUE
"2_11076270","2",11076270,-547,"AT2G25975","AT2G25975.1","proximal >500&<=1000bp",0.842,0.469798657718121,0.728,0.386363636363636,0.717,0.582417582417582,"CHG",-0.114,-0.011,FALSE,TRUE
"2_12648589","2",12648589,2029,"AT2G29560","AT2G29560.1","intronic",0.797,0.368098159509202,0.772,0.376640419947507,0.731,0.23434393638171,"CHG",-0.025,-0.041,FALSE,TRUE
"2_13686863","2",13686863,2615,"AT2G32235","AT2G32235.1","intronic",0.776,0.4,0.747,0.394546912590217,0.73,0.285968315551245,"CHG",-0.029,-0.017,FALSE,TRUE
"2_13717421","2",13717421,419,"AT2G32290","AT2G32290.1","proximal <=500bp",0.79,0.601965601965602,0.779,0.606837606837607,0.73,0.649900645802285,"CHG",-0.011,-0.049,FALSE,TRUE
"2_14672485","2",14672485,3321,"AT2G34780","AT2G34780.4","intronic",0.821,0.377162629757785,0.762,0.359116022099448,0.717,0.283508771929825,"CHG",-0.0589999999999999,-0.045,FALSE,TRUE
"2_14753600","2",14753600,281,"AT2G35000","AT2G35000.1","proximal <=500bp",0.918,0.416666666666667,0.9,0.453333333333333,0.832,0.335171048911507,"CHG",-0.018,-0.0680000000000001,FALSE,TRUE
"2_17730607","2",17730607,2128,"AT2G42580","AT2G42580.1","intronic",0.791,0.414225941422594,0.786,0.355140186915888,0.763,0.259450171821306,"CHG",-0.005,-0.023,FALSE,TRUE
"3_156150","3",156150,493,"AT3G01410","AT3G01410.1","proximal <=500bp",0.91,0.439655172413793,0.879,0.405,0.836,0.393626062322946,"CHG",-0.031,-0.043,FALSE,TRUE
"3_156162","3",156162,505,"AT3G01410","AT3G01410.1","proximal >500&<=1000bp",0.856,0.421259842519685,0.855,0.409691629955947,0.771,0.382868171021378,"CHG",-0.001,-0.084,FALSE,TRUE
"3_1101938","3",1101938,-825,"AT3G04190","AT3G04190.1","proximal >500&<=1000bp",0.806,0.508928571428571,0.8,0.440594059405941,0.784,0.421637744034707,"CHG",-0.006,-0.016,FALSE,TRUE
"3_5469952","3",5469952,358,"AT3G16140","AT3G16140.1","proximal <=500bp",0.838,0.443438914027149,0.805,0.467336683417085,0.788,0.426158177629895,"CHG",-0.0329999999999999,-0.017,FALSE,TRUE
"3_8138749","3",8138749,252,"AT3G22955","AT3G22955.1","proximal <=500bp",0.814,0.540584415584416,0.788,0.548076923076923,0.785,0.363343442001516,"CHG",-0.0259999999999999,-0.003,FALSE,TRUE
"3_8401323","3",8401323,-3966,"AT3G23440","AT3G23440.1","intergenic",0.817,0.443438914027149,0.708,0.447368421052632,0.705,0.446479107707674,"CHG",-0.109,-0.003,FALSE,TRUE
"3_10196040","3",10196040,3746,"AT3G27520","AT3G27520.1","intronic",0.904,0.478260869565217,0.876,0.369747899159664,0.84,0.315360744763382,"CHG",-0.028,-0.036,FALSE,TRUE
"3_11624364","3",11624364,4366,"AT3G29772","AT3G29772.1","intergenic",0.775,0.448170731707317,0.773,0.482517482517482,0.767,0.396089790007241,"CHG",-0.002,-0.006,FALSE,TRUE
"3_12109885","3",12109885,-2804,"AT3G30470","AT3G30470.1","intronic",0.909,0.5,0.837,0.486486486486487,0.759,0.552631578947368,"CHG",-0.0720000000000001,-0.078,FALSE,TRUE
"3_12438317","3",12438317,105,"AT3G30765","AT3G30765.1","proximal <=500bp",0.847,0.5,0.744,0.428571428571429,0.705,0.478260869565217,"CHG",-0.103,-0.039,FALSE,TRUE
"3_12438352","3",12438352,140,"AT3G30765","AT3G30765.1","proximal <=500bp",0.782,0.464285714285714,0.749,0.4,0.745,0.518518518518518,"CHG",-0.033,-0.004,FALSE,TRUE
"3_13532187","3",13532187,2089,"AT3G32980","AT3G32980.1","intergenic",0.757,0.724137931034483,0.745,0.601941747572815,0.707,0.688389017532253,"CHG",-0.012,-0.038,FALSE,TRUE
"3_14750113","3",14750113,-181,"AT3G42658","AT3G42658.1","proximal <=500bp",0.92,0.440217391304348,0.836,0.468571428571429,0.747,0.28843710292249,"CHG",-0.0840000000000001,-0.089,FALSE,TRUE
"3_15272474","3",15272474,-2569,"AT3G43315","AT3G43315.1","intronic",0.862,0.414634146341463,0.779,0.333333333333333,0.775,0.376803551609323,"CHG",-0.083,-0.004,FALSE,TRUE
"3_15333869","3",15333869,1733,"AT3G43400","AT3G43400.1","intergenic",0.779,0.283464566929134,0.759,0.297297297297297,0.757,0.388281764318631,"CHG",-0.02,-0.002,FALSE,TRUE
"3_15599866","3",15599866,1687,"AT3G43690","AT3G43690.1","intronic",0.776,0.385496183206107,0.757,0.433333333333333,0.723,0.422051141050316,"CHG",-0.019,-0.034,FALSE,TRUE
"3_15644349","3",15644349,306,"AT3G43740","AT3G43740.2","proximal <=500bp",0.777,0.45016077170418,0.765,0.387832699619772,0.739,0.546570397111913,"CHG",-0.012,-0.026,FALSE,TRUE
"3_16006050","3",16006050,-458,"AT3G44330","AT3G44330.1","proximal <=500bp",0.773,0.4,0.745,0.51304347826087,0.7,0.491612657262676,"CHG",-0.028,-0.045,FALSE,TRUE
"3_16715627","3",16715627,2618,"AT3G45555","AT3G45555.1","exonic",0.863,0.394736842105263,0.809,0.34375,0.725,0.526246719160105,"CHG",-0.0539999999999999,-0.0840000000000001,FALSE,TRUE
"3_17216238","3",17216238,483,"AT3G46730","AT3G46730.1","proximal <=500bp",0.815,0.337606837606838,0.742,0.37378640776699,0.703,0.223408039843472,"CHG",-0.073,-0.039,FALSE,TRUE
"3_18254849","3",18254849,617,"AT3G49230","AT3G49230.1","proximal >500&<=1000bp",0.921,0.480519480519481,0.822,0.387096774193548,0.706,0.409718387631143,"CHG",-0.0990000000000001,-0.116,FALSE,TRUE
"3_21691397","3",21691397,-2531,"AT3G58640","AT3G58640.2","intronic",0.861,0.55705996131528,0.803,0.528195488721805,0.792,0.656046161565479,"CHG",-0.0579999999999999,-0.011,FALSE,TRUE
"3_23102826","3",23102826,-1754,"AT3G62455","AT3G62455.1","intronic",0.758,0.3,0.747,0.373737373737374,0.707,0.283185840707965,"CHG",-0.011,-0.04,FALSE,TRUE
"3_23104079","3",23104079,-501,"AT3G62455","AT3G62455.1","proximal >500&<=1000bp",0.801,0.452380952380952,0.718,0.296296296296296,0.701,0.282934131736527,"CHG",-0.0830000000000001,-0.017,FALSE,TRUE
"3_23306160","3",23306160,-3577,"AT3G63080","AT3G63080.1","intronic",0.778,0.3003300330033,0.753,0.287272727272727,0.717,0.238365493757094,"CHG",-0.025,-0.036,FALSE,TRUE
"4_1070525","4",1070525,1551,"AT4G02430","AT4G02430.4","intronic",0.909,0.528662420382166,0.877,0.541044776119403,0.852,0.572552649849572,"CHG",-0.032,-0.025,FALSE,TRUE
"4_2033070","4",2033070,-98,"AT4G04220","AT4G04220.1","proximal <=500bp",0.887,0.409090909090909,0.836,0.375,0.768,0.326340326340326,"CHG",-0.051,-0.068,FALSE,TRUE
"4_2454199","4",2454199,1316,"AT4G04850","AT4G04850.1","intronic",0.868,0.47699214365881,0.82,0.36222509702458,0.801,0.379513377781626,"CHG",-0.048,-0.0189999999999999,FALSE,TRUE
"4_2804078","4",2804078,-325,"AT4G05520","AT4G05520.1","proximal <=500bp",0.893,0.536144578313253,0.832,0.432432432432432,0.773,0.534681341182493,"CHG",-0.061,-0.0589999999999999,FALSE,TRUE
"4_4492697","4",4492697,3271,"AT4G07703","AT4G07703.1","intronic",0.825,0.340425531914894,0.786,0.326086956521739,0.703,0.560606060606061,"CHG",-0.0389999999999999,-0.0830000000000001,FALSE,TRUE
"4_5413026","4",5413026,2762,"AT4G08510","AT4G08510.2","intronic",0.76,0.451948051948052,0.757,0.441176470588235,0.723,0.381443298969072,"CHG",-0.003,-0.034,FALSE,TRUE
"4_6563971","4",6563971,-212,"AT4G10620","AT4G10620.1","proximal <=500bp",0.882,0.492146596858639,0.857,0.507142857142857,0.738,0.537828705744087,"CHG",-0.025,-0.119,FALSE,TRUE
"4_7353315","4",7353315,180,"AT4G12420","AT4G12420.2","proximal <=500bp",0.838,0.351351351351351,0.822,0.555555555555556,0.774,0.599234815877571,"CHG",-0.016,-0.0479999999999999,FALSE,TRUE
"4_9913518","4",9913518,1474,"AT4G17820","AT4G17820.1","transposable_element",0.785,0.354838709677419,0.749,0.481481481481481,0.739,0.644,"CHG",-0.036,-0.01,FALSE,TRUE
"4_9981487","4",9981487,932,"AT4G17980","AT4G17980.2","proximal >500&<=1000bp",0.854,0.48,0.819,0.647058823529412,0.808,0.472945891783567,"CHG",-0.035,-0.0109999999999999,FALSE,TRUE
"4_10602528","4",10602528,-2096,"AT4G19440","AT4G19440.4","intronic",0.859,0.36046511627907,0.796,0.349056603773585,0.786,0.270484581497797,"CHG",-0.063,-0.01,FALSE,TRUE
"4_12365531","4",12365531,-551,"AT4G23740","AT4G23740.1","proximal >500&<=1000bp",0.808,0.385964912280702,0.759,0.407643312101911,0.734,0.274790502793296,"CHG",-0.049,-0.025,FALSE,TRUE
"4_14399455","4",14399455,-743,"AT4G29200","AT4G29200.1","proximal >500&<=1000bp",0.911,0.452054794520548,0.734,0.5375,0.708,0.677504725897921,"CHG",-0.177,-0.026,FALSE,TRUE
"4_14988514","4",14988514,1638,"AT4G30770","AT4G30770.1","transposable_element",0.802,0.30327868852459,0.758,0.336734693877551,0.704,0.53770086526576,"CHG",-0.044,-0.054,FALSE,TRUE
"5_765996","5",765996,2516,"AT5G03210","AT5G03210.2","intergenic",0.994,0.456140350877193,0.987,0.567567567567568,0.84,0.391073795846222,"CHG",-0.00700000000000001,-0.147,FALSE,TRUE
"5_1065238","5",1065238,430,"AT5G03944","AT5G03944.1","proximal <=500bp",0.806,0.383886255924171,0.732,0.440366972477064,0.706,0.266611295681063,"CHG",-0.0740000000000001,-0.026,FALSE,TRUE
"5_2904103","5",2904103,-2057,"AT5G09350","AT5G09350.1","intronic",0.839,0.330287206266319,0.792,0.343185550082102,0.739,0.264167702966779,"CHG",-0.0469999999999999,-0.053,FALSE,TRUE
"5_4989773","5",4989773,591,"AT5G15360","AT5G15360.1","proximal >500&<=1000bp",0.876,0.485981308411215,0.819,0.385416666666667,0.777,0.446522887323944,"CHG",-0.057,-0.0419999999999999,FALSE,TRUE
"5_6384458","5",6384458,-2883,"AT5G19090","AT5G19090.1","transposable_element",0.892,0.391891891891892,0.817,0.386363636363636,0.811,0.413868842171321,"CHG",-0.0750000000000001,-0.00599999999999989,FALSE,TRUE
"5_8802919","5",8802919,166,"AT5G25360","AT5G25360.2","proximal <=500bp",0.948,0.445255474452555,0.897,0.474747474747475,0.749,0.570448979591837,"CHG",-0.0509999999999999,-0.148,FALSE,TRUE
"5_9486843","5",9486843,478,"AT5G26960","AT5G26960.1","proximal <=500bp",0.87,0.441358024691358,0.784,0.495867768595041,0.745,0.572802912116485,"CHG",-0.086,-0.039,FALSE,TRUE
"5_10122080","5",10122080,3152,"AT5G28141","AT5G28141.1","transposable_element",0.822,0.346007604562738,0.753,0.397321428571429,0.738,0.340124107247395,"CHG",-0.069,-0.015,FALSE,TRUE
"5_10879214","5",10879214,-2230,"AT5G28850","AT5G28850.1","intronic",0.887,0.377450980392157,0.867,0.354430379746835,0.765,0.273985959438378,"CHG",-0.02,-0.102,FALSE,TRUE
"5_12155078","5",12155078,1368,"AT5G32513","AT5G32513.1","intronic",0.797,0.537037037037037,0.776,0.547169811320755,0.746,0.44,"CHG",-0.021,-0.03,FALSE,TRUE
"5_13597651","5",13597651,827,"AT5G35390","AT5G35390.1","proximal >500&<=1000bp",0.758,0.426523297491039,0.724,0.41897233201581,0.702,0.45515821007302,"CHG",-0.034,-0.022,FALSE,TRUE
"5_13602753","5",13602753,398,"AT5G35400","AT5G35400.1","proximal <=500bp",0.81,0.533783783783784,0.701,0.385135135135135,0.7,0.339479905437352,"CHG",-0.109,-0.001,FALSE,TRUE
"5_13764875","5",13764875,2910,"AT5G35580","AT5G35580.1","transposable_element",0.795,0.567114093959732,0.77,0.550359712230216,0.748,0.401657060518732,"CHG",-0.025,-0.022,FALSE,TRUE
"5_13894736","5",13894736,1134,"AT5G35730","AT5G35730.1","intronic",0.859,0.574842767295597,0.798,0.54531490015361,0.702,0.685727082711257,"CHG",-0.0609999999999999,-0.0960000000000001,FALSE,TRUE
"5_15176167","5",15176167,-64,"AT5G38035","AT5G38035.1","proximal <=500bp",0.928,0.46078431372549,0.913,0.424528301886792,0.748,0.663551401869159,"CHG",-0.015,-0.165,FALSE,TRUE
"5_16377224","5",16377224,-1669,"AT5G40880","AT5G40880.1","intronic",0.789,0.275555555555556,0.777,0.298850574712644,0.709,0.222283055023269,"CHG",-0.012,-0.0680000000000001,FALSE,TRUE
"5_16828912","5",16828912,-2327,"AT5G42100","AT5G42100.2","intronic",0.901,0.565217391304348,0.817,0.545454545454545,0.732,0.619047619047619,"CHG",-0.0840000000000001,-0.085,FALSE,TRUE
"5_17364766","5",17364766,886,"AT5G43270","AT5G43270.2","proximal >500&<=1000bp",0.789,0.49618320610687,0.728,0.456375838926175,0.704,0.459274295863994,"CHG",-0.061,-0.024,FALSE,TRUE
"5_17384095","5",17384095,-1292,"AT5G43310","AT5G43310.1","intronic",0.749,0.260223048327138,0.715,0.272264631043257,0.712,0.247049669303592,"CHG",-0.034,-0.003,FALSE,TRUE
"5_17704264","5",17704264,259,"AT5G44000","AT5G44000.1","proximal <=500bp",0.78,0.316546762589928,0.749,0.280334728033473,0.704,0.259925886712546,"CHG",-0.031,-0.045,FALSE,TRUE
"5_18237474","5",18237474,-1432,"AT5G45115","AT5G45115.2","intronic",0.903,0.523809523809524,0.834,0.35,0.739,0.347014925373134,"CHG",-0.0690000000000001,-0.095,FALSE,TRUE
"5_18237485","5",18237485,-1421,"AT5G45115","AT5G45115.2","intronic",0.989,0.5625,0.871,0.375,0.82,0.384879725085911,"CHG",-0.118,-0.051,FALSE,TRUE
"5_19607575","5",19607575,428,"AT5G48380","AT5G48380.1","proximal <=500bp",0.863,0.380952380952381,0.815,0.452380952380952,0.799,0.493727079714341,"CHG",-0.048,-0.0159999999999999,FALSE,TRUE
"5_19607590","5",19607590,443,"AT5G48380","AT5G48380.1","proximal <=500bp",0.831,0.349282296650718,0.788,0.468926553672316,0.759,0.493148308759757,"CHG",-0.0429999999999999,-0.029,FALSE,TRUE
"1_7390","1",7390,-1347,"AT1G01020","AT1G01020.6","intronic",0.79,0.361111111111111,0.724,0.24390243902439,0.714,0.265518148342977,"CpG",-0.0660000000000001,-0.01,FALSE,TRUE
"1_24723","1",24723,1307,"AT1G01040","AT1G01040.2","intronic",0.777,0.367888748419722,0.737,0.367892976588629,0.736,0.277566990751719,"CpG",-0.04,-0.001,FALSE,TRUE
"1_24724","1",24724,1308,"AT1G01040","AT1G01040.2","intronic",0.825,0.375552282768778,0.71,0.330855018587361,0.709,0.262930413485089,"CpG",-0.115,-0.001,FALSE,TRUE
"1_24748","1",24748,1332,"AT1G01040","AT1G01040.2","intronic",0.809,0.450797872340426,0.741,0.411073825503356,0.709,0.25691422153587,"CpG",-0.0680000000000001,-0.032,FALSE,TRUE
"1_25465","1",25465,2049,"AT1G01040","AT1G01040.2","intronic",0.863,0.514644351464435,0.825,0.603658536585366,0.812,0.395356550580431,"CpG",-0.038,-0.0129999999999999,FALSE,TRUE
"1_28790","1",28790,-4219,"AT1G01050","AT1G01050.2","intronic",0.757,0.543408360128617,0.737,0.471615720524017,0.72,0.34043341359511,"CpG",-0.02,-0.017,FALSE,TRUE
"1_93692","1",93692,2000,"AT1G01220","AT1G01220.8","intronic",0.806,0.489766081871345,0.742,0.438222222222222,0.717,0.379776994186601,"CpG",-0.0640000000000001,-0.025,FALSE,TRUE
"1_98800","1",98800,-1065,"AT1G01240","AT1G01240.4","intronic",0.858,0.571428571428571,0.854,0.485632183908046,0.841,0.477218856992362,"CpG",-0.004,-0.013,FALSE,TRUE
"1_161792","1",161792,-1161,"AT1G01440","AT1G01440.1","intronic",0.864,0.381756756756757,0.777,0.384313725490196,0.72,0.26334208223972,"CpG",-0.087,-0.057,FALSE,TRUE
"1_165257","1",165257,-260,"AT1G01450","AT1G01450.1","proximal <=500bp",0.84,0.507042253521127,0.823,0.552380952380952,0.771,0.368613138686131,"CpG",-0.017,-0.0519999999999999,FALSE,TRUE
"1_197839","1",197839,-1688,"AT1G01550","AT1G01550.1","intronic",0.855,0.476394849785408,0.853,0.502164502164502,0.822,0.409723546234509,"CpG",-0.002,-0.031,FALSE,TRUE
"1_213612","1",213612,-538,"AT1G01590","AT1G01590.1","proximal >500&<=1000bp",0.872,0.398989898989899,0.858,0.422222222222222,0.767,0.568941308621174,"CpG",-0.014,-0.091,FALSE,TRUE
"1_213616","1",213616,-534,"AT1G01590","AT1G01590.1","proximal >500&<=1000bp",0.867,0.3625,0.842,0.331818181818182,0.725,0.582684091480271,"CpG",-0.025,-0.117,FALSE,TRUE
"1_233953","1",233953,1323,"AT1G01640","AT1G01640.1","intronic",0.813,0.552667578659371,0.809,0.523893805309735,0.807,0.36576317383404,"CpG",-0.00399999999999989,-0.002,FALSE,TRUE
"1_234839","1",234839,2209,"AT1G01640","AT1G01640.1","intronic",0.79,0.463136033229491,0.768,0.384105960264901,0.755,0.330449482895784,"CpG",-0.022,-0.013,FALSE,TRUE
"1_235557","1",235557,-2260,"AT1G01650","AT1G01650.4","intronic",0.839,0.495495495495495,0.778,0.455298013245033,0.771,0.314135221483464,"CpG",-0.0609999999999999,-0.00700000000000001,FALSE,TRUE
"1_265592","1",265592,-741,"AT1G01715","AT1G01715.1","proximal >500&<=1000bp",0.789,0.570652173913043,0.771,0.528409090909091,0.743,0.530367231638418,"CpG",-0.018,-0.028,FALSE,TRUE
"1_275661","1",275661,330,"AT1G01750","AT1G01750.2","proximal <=500bp",0.772,0.429787234042553,0.725,0.34684260131951,0.708,0.306319244973328,"CpG",-0.047,-0.017,FALSE,TRUE
"1_288978","1",288978,-4268,"AT1G01800","AT1G01800.1","intronic",0.737,0.531963470319635,0.73,0.546703296703297,0.711,0.474340836012862,"CpG",-0.00700000000000001,-0.019,FALSE,TRUE
"1_289988","1",289988,-3258,"AT1G01800","AT1G01800.1","intronic",0.772,0.418848167539267,0.752,0.372781065088757,0.708,0.250628817822494,"CpG",-0.02,-0.044,FALSE,TRUE
"1_289989","1",289989,-3257,"AT1G01800","AT1G01800.1","intronic",0.832,0.408970976253298,0.802,0.437229437229437,0.708,0.241194702733164,"CpG",-0.0299999999999999,-0.0940000000000001,FALSE,TRUE
"1_297120","1",297120,-1214,"AT1G01820","AT1G01820.1","intronic",0.768,0.351975683890577,0.744,0.393186657203691,0.736,0.293938188088606,"CpG",-0.024,-0.00800000000000001,FALSE,TRUE
"1_317947","1",317947,1760,"AT1G01920","AT1G01920.1","intronic",0.808,0.394415357766143,0.801,0.397515527950311,0.784,0.353239017125838,"CpG",-0.00700000000000001,-0.017,FALSE,TRUE
"1_327531","1",327531,2152,"AT1G01950","AT1G01950.3","intronic",0.796,0.530660377358491,0.756,0.514824797843666,0.742,0.662187545152435,"CpG",-0.04,-0.014,FALSE,TRUE
"1_328817","1",328817,3438,"AT1G01950","AT1G01950.3","intronic",0.817,0.347193347193347,0.764,0.342342342342342,0.722,0.244751728472659,"CpG",-0.0529999999999999,-0.042,FALSE,TRUE
"1_329739","1",329739,4360,"AT1G01950","AT1G01950.3","intronic",0.758,0.378731343283582,0.753,0.343544857768052,0.752,0.380183690509324,"CpG",-0.005,-0.001,FALSE,TRUE
"1_331422","1",331422,6043,"AT1G01950","AT1G01950.3","intronic",0.801,0.443243243243243,0.762,0.427974947807933,0.72,0.26568058416027,"CpG",-0.039,-0.042,FALSE,TRUE
"1_332625","1",332625,-5287,"AT1G01960","AT1G01960.1","intronic",0.783,0.383301707779886,0.74,0.381465517241379,0.728,0.284154331472943,"CpG",-0.043,-0.012,FALSE,TRUE
"1_335244","1",335244,-2668,"AT1G01960","AT1G01960.1","intronic",0.843,0.464387464387464,0.833,0.408945686900958,0.785,0.434316824727784,"CpG",-0.01,-0.0479999999999999,FALSE,TRUE
"1_335990","1",335990,-1922,"AT1G01960","AT1G01960.1","intronic",0.752,0.462246777163904,0.744,0.463514902363823,0.725,0.326073657163832,"CpG",-0.00800000000000001,-0.019,FALSE,TRUE
"1_350074","1",350074,1054,"AT1G02010","AT1G02010.6","intronic",0.908,0.456692913385827,0.783,0.502487562189055,0.769,0.506711409395973,"CpG",-0.125,-0.014,FALSE,TRUE
"1_350700","1",350700,1680,"AT1G02010","AT1G02010.6","intronic",0.738,0.347193347193347,0.723,0.337807606263982,0.7,0.261058372046051,"CpG",-0.015,-0.023,FALSE,TRUE
