#chrom	start	end	JSD_bit_	sample size	HMIX_bit_	mC	C	_merge
1	523118	523118	0.0	5	0.0	0	13	left_only
1	523120	523120	0.0	5	0.0	0	23	left_only
1	523274	523274	0.0	5	0.0	0	16	left_only
1	523278	523278	0.0	5	0.0	0	15	left_only
1	523865	523865	0.0	5	0.0	0	24	left_only
1	523867	523867	0.0	5	0.0	0	9	left_only
1	523907	523907	0.0	5	0.0	0	14	left_only
1	523927	523927	0.0	5	0.0	0	11	left_only
1	527611	527611	0.0	5	0.0	0	17	left_only
1	527718	527718	0.0	5	0.0	0	16	left_only
1	527742	527742	0.0	5	0.0	0	14	left_only
1	527745	527745	0.0	5	0.391	1	12	left_only
1	527838	527838	0.0	5	0.0	0	11	left_only
1	527863	527863	0.0	5	0.0	0	14	left_only
1	527872	527872	0.0	5	0.0	0	13	left_only
1	527946	527946	0.0	5	0.0	0	17	left_only
1	528327	528327	0.0	5	0.0	0	5	left_only
1	540565	540565	0.0	5	0.831	14	5	left_only
1	540567	540567	0.0	5	0.0	6	0	left_only
1	540574	540574	0.0	5	0.874	12	5	left_only
1	540579	540579	0.0	5	0.831	14	5	left_only
1	550118	550118	0.0	5	0.779	10	3	left_only
1	550642	550642	0.0	5	0.977	10	7	left_only
1	550723	550723	0.0	5	0.0	0	8	left_only
1	550814	550814	-0.0	5	0.98	7	5	left_only
1	551605	551605	0.0	5	0.0	0	3	left_only
1	599646	599646	0.0	5	0.0	0	11	left_only
1	627805	627805	0.0	5	0.0	0	3	left_only
1	448313	448313	0.0	5	0.0	0	8	left_only
1	499386	499386	0.0	5	0.722	5	20	left_only
1	521958	521958	0.0	5	0.0	0	7	left_only
1	581990	581990	0.0	5	0.0	0	5	left_only
1	604404	604404	0.0	5	0.0	0	8	left_only
1	604414	604414	0.0	5	0.0	0	8	left_only
1	638719	638719	0.0	5	0.0	0	31	left_only
1	640735	640735	0.0	5	0.402	2	23	left_only
1	641527	641527	0.0	5	0.0	0	7	left_only
1	641538	641538	0.0	5	0.0	0	7	left_only
1	758728	758728	0.0	5	0.0	6	0	left_only
1	758982	758982	0.0	5	0.0	0	7	left_only
1	781173	781173	0.0	5	0.0	0	4	left_only
1	781177	781177	0.0	5	0.0	0	6	left_only
1	850238	850238	0.0	5	0.0	0	6	left_only
1	854349	854349	0.0	5	0.0	0	11	left_only
1	862441	862441	0.0	5	0.0	0	7	left_only
1	781371	781371	0.0	5	0.811	1	3	left_only
1	1008928	1008928	0.0	5	0.0	0	9	left_only
1	1008943	1008943	0.0	5	0.0	0	6	left_only
1	1008962	1008962	0.0	5	0.0	0	3	left_only
1	1009675	1009675	0.0	5	0.0	0	13	left_only
1	1010590	1010590	0.0	5	0.0	0	3	left_only
1	1010597	1010597	0.0	5	0.0	0	4	left_only
1	1010611	1010611	0.0	5	0.0	0	6	left_only
1	1010617	1010617	0.0	5	0.0	0	7	left_only
1	1044800	1044800	0.0	5	0.0	0	24	left_only
1	909641	909641	0.0	5	0.0	0	3	left_only
1	909644	909644	0.0	5	0.0	0	7	left_only
1	889047	889047	0.0	5	0.863	2	5	left_only
1	889061	889061	0.0	5	0.985	3	4	left_only
1	1289558	1289558	0.0	5	0.0	0	21	left_only
1	1184247	1184247	0.0	5	0.918	3	6	left_only
1	1101137	1101137	0.0	5	0.0	0	7	left_only
1	1143190	1143190	0.0	5	0.0	0	3	left_only
1	1171634	1171634	0.0	5	0.0	0	7	left_only
1	1242883	1242883	0.0	5	0.0	0	5	left_only
1	1244979	1244979	0.0	5	0.0	0	12	left_only
1	1288555	1288555	0.0	5	0.722	1	4	left_only
1	1288583	1288583	0.0	5	0.863	2	5	left_only
1	1288609	1288609	0.0	5	0.592	1	6	left_only
1	1288619	1288619	0.0	5	0.985	4	3	left_only
1	1288741	1288741	0.0	5	1.0	4	4	left_only
1	1291319	1291319	0.0	5	0.0	0	12	left_only
1	1444418	1444418	0.0	5	0.926	14	27	left_only
1	1462166	1462166	0.0	5	0.0	0	4	left_only
1	1465445	1465445	0.0	5	0.0	0	4	left_only
1	1465447	1465447	0.0	5	0.0	0	3	left_only
1	1465449	1465449	0.0	5	0.0	0	5	left_only
1	1465459	1465459	0.0	5	0.0	0	6	left_only
1	1465461	1465461	0.0	5	0.0	0	6	left_only
1	1465984	1465984	0.0	5	0.0	0	9	left_only
1	1466028	1466028	0.0	5	0.0	0	19	left_only
1	1376081	1376081	-0.0	5	0.971	6	9	left_only
1	1430273	1430273	0.0	5	0.0	0	13	left_only
1	1430283	1430283	0.0	5	0.65	5	1	left_only
1	1430288	1430288	0.0	5	0.722	4	1	left_only
1	1430290	1430290	0.0	5	0.684	9	2	left_only
1	1430307	1430307	0.0	5	0.0	0	4	left_only
1	1430316	1430316	0.0	5	0.0	3	0	left_only
1	1430318	1430318	0.0	5	0.971	3	2	left_only
1	1430571	1430571	0.0	5	0.918	1	2	left_only
1	1430582	1430582	0.0	5	0.544	7	1	left_only
1	1430606	1430606	0.0	5	0.811	1	3	left_only
1	1430617	1430617	0.0	5	0.991	5	4	left_only
1	1430641	1430641	0.0	5	0.0	5	0	left_only
1	1430643	1430643	0.0	5	0.503	8	1	left_only
1	1430687	1430687	0.0	5	1.0	3	3	left_only
1	1430689	1430689	0.0	5	0.954	3	5	left_only
1	1430705	1430705	0.0	5	0.863	2	5	left_only
1	1430714	1430714	0.0	5	1.0	3	3	left_only
1	1430725	1430725	0.0	5	0.89	4	9	left_only
1	1430740	1430740	0.0	5	0.863	5	2	left_only
1	1430749	1430749	0.0	5	0.863	2	5	left_only
1	1430751	1430751	0.0	5	0.469	9	1	left_only
1	1430805	1430805	0.0	5	0.918	1	2	left_only
1	1430913	1430913	0.0	5	0.811	3	1	left_only
1	1430922	1430922	0.0	5	0.0	4	0	left_only
1	1430960	1430960	0.0	5	0.918	2	4	left_only
1	1430969	1430969	0.0	5	0.0	3	0	left_only
1	1430971	1430971	0.0	5	0.946	4	7	left_only
1	1430988	1430988	0.0	5	1.0	3	3	left_only
1	1430990	1430990	0.0	5	1.0	4	4	left_only
1	1431005	1431005	0.0	5	0.684	2	9	left_only
1	1431009	1431009	0.0	5	0.65	2	10	left_only
1	1431011	1431011	0.0	5	0.722	3	12	left_only
1	1431021	1431021	0.0	5	0.391	1	12	left_only
1	1445407	1445407	0.0	5	0.954	3	5	left_only
1	1445509	1445509	0.0	5	0.918	2	1	left_only
1	1456158	1456158	0.0	5	0.0	0	10	left_only
1	1476783	1476783	0.0	5	0.0	0	8	left_only
1	1446347	1446347	0.0	5	0.918	2	1	left_only
1	1446349	1446349	0.0	5	0.811	3	1	left_only
1	1446380	1446380	0.0	5	0.65	5	1	left_only
1	1446382	1446382	0.0	5	0.811	6	2	left_only
1	1446438	1446438	0.0	5	0.89	9	4	left_only
1	1446440	1446440	0.0	5	0.996	7	6	left_only
1	1427193	1427193	0.0	5	0.0	0	19	left_only
1	1433236	1433236	0.0	5	0.619	2	11	left_only
1	1433244	1433244	0.0	5	0.414	1	11	left_only
1	1478825	1478825	0.0	5	0.0	0	3	left_only
1	1502935	1502935	0.0	5	0.0	0	12	left_only
1	1504735	1504735	0.0	5	0.0	0	9	left_only
1	1505420	1505420	0.0	5	0.0	0	4	left_only
1	1505537	1505537	0.0	5	0.0	0	19	left_only
1	1505627	1505627	0.0	5	0.0	0	17	left_only
1	1505807	1505807	0.0	5	0.0	0	7	left_only
1	1506398	1506398	0.0	5	0.0	0	3	left_only
1	1543916	1543916	0.0	5	0.0	0	6	left_only
1	1614610	1614610	0.0	5	0.811	3	1	left_only
1	1598228	1598228	0.0	5	0.0	0	11	left_only
1	1706103	1706103	0.0	5	0.811	6	2	left_only
1	1561710	1561710	0.0	5	0.0	0	3	left_only
1	1567362	1567362	0.0	5	0.0	0	3	left_only
1	1567605	1567605	0.0	5	0.0	0	5	left_only
1	1534462	1534462	0.0	5	0.0	0	4	left_only
1	1613283	1613283	0.0	5	0.503	16	2	left_only
1	1613462	1613462	0.0	5	0.722	1	4	left_only
1	1613477	1613477	0.0	5	0.811	3	1	left_only
1	1706055	1706055	0.0	5	0.0	0	3	left_only
1	1706078	1706078	0.0	5	0.0	0	3	left_only
1	1706105	1706105	0.0	5	0.0	0	3	left_only
1	1713726	1713726	0.0	5	0.0	0	8	left_only
1	1715144	1715144	0.0	5	0.0	0	3	left_only
1	1715580	1715580	0.0	5	0.0	0	19	left_only
1	1901900	1901900	0.0	5	0.0	0	9	left_only
1	1902012	1902012	0.0	5	0.0	0	3	left_only
1	1902020	1902020	0.0	5	0.0	0	4	left_only
1	1902038	1902038	0.0	5	0.0	0	6	left_only
1	1902119	1902119	0.0	5	0.0	0	15	left_only
1	1744566	1744566	0.0	5	0.0	0	11	left_only
1	1888970	1888970	0.0	5	0.0	0	5	left_only
1	1773823	1773823	0.0	5	0.0	0	5	left_only
1	1894102	1894102	0.0	5	0.918	1	2	left_only
1	1938527	1938527	0.0	5	0.0	0	5	left_only
1	1938534	1938534	0.0	5	0.0	0	9	left_only
1	1953007	1953007	0.0	5	0.0	0	5	left_only
1	1953009	1953009	0.0	5	0.0	0	18	left_only
1	1798657	1798657	0.0	5	0.0	0	23	left_only
1	1823846	1823846	0.0	5	0.0	0	7	left_only
1	1900199	1900199	0.0	5	0.0	0	20	left_only
1	1902745	1902745	0.0	5	0.0	0	10	left_only
1	2001940	2001940	0.0	5	0.0	0	3	left_only
1	1969573	1969573	0.0	5	0.0	0	6	left_only
1	2024241	2024241	0.0	5	0.0	0	10	left_only
1	2030758	2030758	0.0	5	0.0	0	3	left_only
1	2105078	2105078	0.0	5	0.0	0	3	left_only
1	2147926	2147926	0.0	5	0.0	0	3	left_only
1	2176553	2176553	0.0	5	0.0	0	12	left_only
1	2027665	2027665	0.0	5	0.0	0	21	left_only
1	2057272	2057272	0.0	5	0.0	0	15	left_only
1	2091820	2091820	0.0	5	0.0	0	6	left_only
1	2091831	2091831	0.0	5	0.0	0	8	left_only
1	2091851	2091851	0.0	5	0.0	0	13	left_only
1	2091853	2091853	0.0	5	0.0	0	5	left_only
1	2225852	2225852	0.0	5	0.0	0	6	left_only
1	2243380	2243380	0.0	5	0.0	0	3	left_only
1	2284091	2284091	0.0	5	0.353	1	14	left_only
1	2367757	2367757	0.0	5	0.0	0	13	left_only
1	2194085	2194085	0.0	5	0.0	0	6	left_only
1	2359578	2359578	0.0	5	0.0	0	3	left_only
1	2373282	2373282	0.0	5	0.0	0	4	left_only
1	2215002	2215002	0.0	5	0.0	0	6	left_only
1	2248004	2248004	0.0	5	0.0	0	9	left_only
1	2316914	2316914	0.0	5	0.0	0	11	left_only
1	2316917	2316917	0.0	5	0.0	0	9	left_only
1	2351294	2351294	0.0	5	0.0	0	18	left_only
1	2412002	2412002	0.0	5	0.0	0	18	left_only
1	2412012	2412012	0.0	5	0.0	0	18	left_only
1	2412029	2412029	0.0	5	0.0	0	14	left_only
1	2412048	2412048	0.0	5	0.0	0	6	left_only
1	2412057	2412057	0.0	5	0.811	1	3	left_only
1	2431076	2431076	0.0	5	0.0	0	10	left_only
1	2409269	2409269	0.0	5	0.0	0	14	left_only
1	2409284	2409284	0.0	5	0.0	0	11	left_only
1	2409304	2409304	0.0	5	0.592	1	6	left_only
1	2417618	2417618	0.0	5	0.0	0	3	left_only
1	2417624	2417624	0.0	5	0.0	0	3	left_only
1	2436334	2436334	0.0	5	0.0	0	19	left_only
1	2520128	2520128	0.0	5	0.0	0	17	left_only
1	2531720	2531720	0.0	5	0.954	5	3	left_only
1	2531746	2531746	0.0	5	0.918	8	4	left_only
1	2531772	2531772	0.0	5	0.544	14	2	left_only
1	2531797	2531797	0.0	5	0.977	7	10	left_only
1	2531807	2531807	0.0	5	0.286	19	1	left_only
1	2531837	2531837	0.0	5	0.469	18	2	left_only
1	2531852	2531852	-0.0	5	0.575	3	19	left_only
1	2532056	2532056	0.0	5	0.918	2	1	left_only
1	2532101	2532101	0.0	5	0.94	5	9	left_only
1	2533859	2533859	0.0	5	0.722	8	2	left_only
1	2533877	2533877	0.0	5	0.896	11	5	left_only
1	2534709	2534709	0.0	5	0.811	1	3	left_only
1	2563473	2563473	0.0	5	0.0	0	5	left_only
1	2412642	2412642	0.0	5	0.0	0	4	left_only
1	2432618	2432618	0.0	5	0.0	0	9	left_only
1	2473134	2473134	0.0	5	0.918	2	1	left_only
1	2534639	2534639	0.0	5	0.811	1	3	left_only
1	2587401	2587401	0.0	5	0.0	3	0	left_only
1	2436982	2436982	0.0	5	0.0	0	7	left_only
1	2449255	2449255	0.0	5	0.0	0	8	left_only
1	2459983	2459983	0.0	5	0.0	0	6	left_only
1	2472915	2472915	0.0	5	0.0	8	0	left_only
1	2472918	2472918	0.0	5	0.811	6	2	left_only
1	2472923	2472923	0.0	5	0.75	11	3	left_only
1	2472928	2472928	0.0	5	1.0	3	3	left_only
1	2476176	2476176	0.0	5	0.0	0	12	left_only
1	2476179	2476179	0.0	5	0.0	0	14	left_only
1	2541409	2541409	0.0	5	0.0	0	3	left_only
1	2584495	2584495	0.0	5	0.0	0	4	left_only
1	2684066	2684066	0.0	5	0.0	0	15	left_only
1	2633958	2633958	0.0	5	0.0	0	4	left_only
1	2682124	2682124	0.0	5	0.0	0	13	left_only
1	2825828	2825828	0.0	5	0.0	0	31	left_only
1	2917186	2917186	0.0	5	0.0	0	6	left_only
1	2992669	2992669	0.0	5	0.0	0	13	left_only
1	2962092	2962092	0.0	5	0.0	0	14	left_only
1	3073054	3073054	0.0	5	0.0	0	13	left_only
1	3073066	3073066	0.0	5	0.337	1	15	left_only
1	3073078	3073078	0.0	5	0.0	0	15	left_only
1	3073093	3073093	0.0	5	0.0	0	16	left_only
1	3073435	3073435	0.0	5	0.918	2	1	left_only
1	3073484	3073484	0.0	5	0.0	3	0	left_only
1	3073499	3073499	0.0	5	0.918	2	1	left_only
1	3073858	3073858	0.0	5	0.0	10	0	left_only
1	3073889	3073889	0.0	5	0.469	9	1	left_only
1	3073892	3073892	0.0	5	0.722	8	2	left_only
1	3131551	3131551	0.0	5	0.0	0	7	left_only
1	3135519	3135519	0.0	5	0.0	0	11	left_only
1	3107432	3107432	0.0	5	0.0	0	7	left_only
1	3130957	3130957	0.0	5	0.0	0	4	left_only
1	3063502	3063502	0.0	5	0.0	0	9	left_only
1	3063513	3063513	0.0	5	0.503	1	8	left_only
1	3157605	3157605	0.0	5	0.0	0	3	left_only
1	3165462	3165462	0.0	5	0.722	2	8	left_only
1	3063592	3063592	0.0	5	0.722	2	8	left_only
1	3063601	3063601	0.0	5	0.469	1	9	left_only
1	3063613	3063613	0.0	5	0.881	3	7	left_only
1	3063616	3063616	0.0	5	0.0	10	0	left_only
1	3331359	3331359	0.0	5	0.0	0	7	left_only
1	3331428	3331428	0.0	5	0.0	0	13	left_only
1	3331449	3331449	0.0	5	0.0	7	0	left_only
1	3332541	3332541	0.0	5	0.0	0	10	left_only
1	3332584	3332584	0.0	5	0.954	3	5	left_only
1	3332587	3332587	0.0	5	1.0	4	4	left_only
1	3332705	3332705	0.0	5	0.0	0	3	left_only
1	3332802	3332802	0.0	5	0.0	0	6	left_only
1	3332830	3332830	0.0	5	1.0	3	3	left_only
1	3332845	3332845	0.0	5	0.918	6	3	left_only
1	3332847	3332847	0.0	5	0.991	4	5	left_only
1	3332889	3332889	0.0	5	0.503	1	8	left_only
1	3332893	3332893	0.0	5	0.985	4	3	left_only
1	3332895	3332895	0.0	5	0.0	9	0	left_only
1	3332903	3332903	0.0	5	0.863	5	2	left_only
1	3332905	3332905	0.0	5	1.0	3	3	left_only
1	3332944	3332944	0.0	5	0.0	0	6	left_only
1	3332953	3332953	0.0	5	1.0	2	2	left_only
1	3332955	3332955	0.0	5	0.0	3	0	left_only
1	3332964	3332964	0.0	5	1.0	3	3	left_only
1	3332966	3332966	0.0	5	0.918	2	1	left_only
1	3332968	3332968	0.0	5	0.722	4	1	left_only
1	3332984	3332984	0.0	5	0.863	5	2	left_only
1	3332997	3332997	0.0	5	0.544	7	1	left_only
1	3333038	3333038	0.0	5	0.0	7	0	left_only
1	3333040	3333040	0.0	5	0.592	6	1	left_only
1	3333086	3333086	0.0	5	0.722	1	4	left_only
1	3333088	3333088	0.0	5	0.991	4	5	left_only
1	3333095	3333095	0.0	5	0.0	0	4	left_only
1	3333097	3333097	0.0	5	0.0	0	9	left_only
1	3333121	3333121	0.0	5	0.0	0	5	left_only
1	3333123	3333123	0.0	5	0.0	0	9	left_only
1	3333151	3333151	0.0	5	0.764	7	2	left_only
1	3333153	3333153	0.0	5	0.722	4	1	left_only
1	3333159	3333159	0.0	5	0.811	1	3	left_only
1	3333165	3333165	0.0	5	0.544	7	1	left_only
1	3333178	3333178	0.0	5	0.811	2	6	left_only
1	3333180	3333180	0.0	5	0.811	1	3	left_only
1	3333182	3333182	0.0	5	0.954	5	3	left_only
1	3333184	3333184	0.0	5	0.0	0	4	left_only
1	3333220	3333220	0.0	5	0.918	1	2	left_only
1	3333230	3333230	0.0	5	0.0	4	0	left_only
1	3333236	3333236	0.0	5	0.722	4	1	left_only
1	3333260	3333260	0.0	5	0.811	6	2	left_only
1	3333262	3333262	0.0	5	1.0	3	3	left_only
1	3333268	3333268	0.0	5	0.0	7	0	left_only
1	3333270	3333270	0.0	5	0.0	6	0	left_only
1	3333277	3333277	0.0	5	0.811	2	6	left_only
1	3333279	3333279	0.0	5	1.0	3	3	left_only
1	3333301	3333301	0.0	5	0.65	5	1	left_only
1	3333303	3333303	0.0	5	0.592	1	6	left_only
1	3333329	3333329	0.0	5	0.0	4	0	left_only
1	3333331	3333331	0.0	5	0.0	6	0	left_only
1	3333342	3333342	0.0	5	0.918	1	2	left_only
1	3333344	3333344	0.0	5	0.918	1	2	left_only
1	3333350	3333350	0.0	5	0.918	1	2	left_only
1	3333373	3333373	0.0	5	0.811	3	1	left_only
1	3333389	3333389	0.0	5	0.811	3	1	left_only
1	3333402	3333402	0.0	5	0.811	3	1	left_only
1	3333408	3333408	0.0	5	0.918	1	2	left_only
1	3333416	3333416	0.0	5	0.0	3	0	left_only
1	3369638	3369638	0.0	5	0.0	0	3	left_only
1	3474725	3474725	0.0	5	0.0	0	8	left_only
1	3313451	3313451	0.0	5	0.0	0	12	left_only
1	3329360	3329360	0.0	5	1.0	2	2	left_only
1	3329363	3329363	0.0	5	1.0	3	3	left_only
1	3329384	3329384	0.0	5	0.918	1	2	left_only
1	3329389	3329389	0.0	5	0.0	0	3	left_only
1	3329391	3329391	0.0	5	0.971	2	3	left_only
1	3329394	3329394	0.0	5	0.918	2	1	left_only
1	3329396	3329396	0.0	5	0.0	0	4	left_only
1	3329592	3329592	0.0	5	0.994	6	5	left_only
1	3329619	3329619	0.0	5	0.918	8	4	left_only
1	3329746	3329746	0.0	5	0.0	4	0	left_only
1	3329771	3329771	0.0	5	1.0	2	2	left_only
1	3329788	3329788	0.0	5	0.811	1	3	left_only
1	3329809	3329809	0.0	5	0.811	3	1	left_only
1	3329814	3329814	0.0	5	0.0	0	4	left_only
1	3330400	3330400	0.0	5	0.811	1	3	left_only
1	3330429	3330429	0.0	5	0.811	3	1	left_only
1	3330441	3330441	0.0	5	0.0	0	4	left_only
1	3330453	3330453	0.0	5	0.0	0	4	left_only
1	3330532	3330532	0.0	5	0.414	11	1	left_only
1	3330549	3330549	0.0	5	0.0	0	12	left_only
1	3330589	3330589	0.0	5	0.811	9	3	left_only
1	3330620	3330620	0.0	5	0.0	0	5	left_only
1	3378814	3378814	0.0	5	0.0	0	3	left_only
1	3439002	3439002	0.0	5	0.0	0	9	left_only
1	3480933	3480933	0.0	5	0.0	0	8	left_only
1	3480936	3480936	0.0	5	0.0	0	8	left_only
1	3484181	3484181	0.0	5	0.0	0	6	left_only
1	3328726	3328726	0.0	5	0.0	0	3	left_only
1	3270961	3270961	0.0	5	0.267	1	21	left_only
1	3270972	3270972	0.0	5	0.0	0	18	left_only
1	3322908	3322908	0.0	5	0.0	0	3	left_only
1	3360539	3360539	0.0	5	0.0	0	3	left_only
1	3378507	3378507	0.0	5	0.0	0	4	left_only
1	3383248	3383248	0.0	5	0.0	0	9	left_only
1	3383557	3383557	0.0	5	0.0	0	22	left_only
1	3383947	3383947	0.0	5	0.0	0	19	left_only
1	3384362	3384362	0.0	5	0.0	0	6	left_only
1	3384441	3384441	0.0	5	0.0	0	25	left_only
1	3414839	3414839	0.0	5	0.0	0	5	left_only
1	3497770	3497770	0.0	5	0.75	22	6	left_only
1	3497780	3497780	0.0	5	0.784	23	7	left_only
1	3546974	3546974	0.0	5	0.881	7	3	left_only
1	3547081	3547081	0.0	5	0.0	0	3	left_only
1	3547241	3547241	0.0	5	0.918	4	8	left_only
1	3547253	3547253	0.0	5	0.779	3	10	left_only
1	3558077	3558077	0.0	5	0.0	0	6	left_only
1	3574748	3574748	0.0	5	0.276	1	20	left_only
1	3622345	3622345	0.0	5	0.0	0	8	left_only
1	3622352	3622352	0.0	5	0.0	0	7	left_only
1	3546913	3546913	0.0	5	0.918	4	2	left_only
1	3547605	3547605	0.0	5	0.0	3	0	left_only
1	3595931	3595931	0.0	5	0.0	0	4	left_only
1	3488909	3488909	0.0	5	0.0	0	6	left_only
1	3490944	3490944	0.0	5	0.0	0	5	left_only
1	3491467	3491467	0.0	5	0.0	0	6	left_only
1	3833104	3833104	0.0	5	0.0	0	5	left_only
1	3771744	3771744	0.0	5	0.0	4	0	left_only
1	3774559	3774559	0.0	5	0.0	0	4	left_only
1	3795954	3795954	0.0	5	0.0	0	3	left_only
1	3824059	3824059	0.0	5	0.0	0	7	left_only
1	3762981	3762981	0.0	5	0.0	3	0	left_only
1	3786878	3786878	0.0	5	0.0	0	4	left_only
1	3825690	3825690	0.0	5	0.0	0	7	left_only
1	3825721	3825721	0.0	5	0.0	0	5	left_only
1	3825918	3825918	0.0	5	0.811	3	1	left_only
1	3825920	3825920	0.0	5	0.0	4	0	left_only
1	3827178	3827178	0.0	5	0.863	5	2	left_only
1	3827180	3827180	0.0	5	0.918	1	2	left_only
1	3830008	3830008	0.0	5	0.0	0	5	left_only
1	3773661	3773661	0.0	5	0.0	0	9	left_only
1	3773949	3773949	0.0	5	0.0	0	7	left_only
1	3859018	3859018	0.0	5	0.0	0	17	left_only
1	3891752	3891752	0.0	5	0.0	0	5	left_only
1	3894006	3894006	0.0	5	0.0	0	3	left_only
1	3894009	3894009	0.0	5	0.0	0	3	left_only
1	3896379	3896379	0.0	5	0.31	1	17	left_only
1	4110426	4110426	0.0	5	0.918	2	4	left_only
1	4110432	4110432	0.0	5	1.0	3	3	left_only
1	4110444	4110444	0.0	5	0.811	3	1	left_only
1	4125922	4125922	0.0	5	0.0	0	7	left_only
1	3926319	3926319	0.0	5	0.544	1	7	left_only
1	3926861	3926861	0.0	5	0.811	2	6	left_only
1	4012451	4012451	0.0	5	0.0	0	12	left_only
1	4015322	4015322	0.0	5	0.0	0	3	left_only
1	3933267	3933267	0.0	5	0.811	3	1	left_only
1	3980409	3980409	0.0	5	0.469	1	9	left_only
1	3980889	3980889	0.0	5	0.469	1	9	left_only
1	4003315	4003315	0.0	5	0.0	0	9	left_only
1	4003456	4003456	0.0	5	0.0	0	17	left_only
1	4003463	4003463	0.0	5	0.0	0	10	left_only
1	4006260	4006260	0.0	5	0.0	0	4	left_only
1	4006272	4006272	0.0	5	0.0	0	4	left_only
1	4006508	4006508	0.0	5	0.0	0	4	left_only
1	4006796	4006796	0.0	5	0.0	0	9	left_only
1	4006798	4006798	0.0	5	0.371	1	13	left_only
1	4006803	4006803	0.0	5	0.0	0	9	left_only
1	4006805	4006805	0.0	5	0.0	0	15	left_only
1	4006860	4006860	0.0	5	0.0	0	9	left_only
1	4006880	4006880	0.0	5	0.0	0	8	left_only
1	4006896	4006896	0.0	5	0.0	0	8	left_only
1	4006960	4006960	0.0	5	0.0	0	3	left_only
1	4006962	4006962	0.0	5	0.0	0	4	left_only
1	4006979	4006979	0.0	5	0.0	0	7	left_only
1	4006997	4006997	0.0	5	0.0	0	7	left_only
1	4007104	4007104	0.0	5	0.0	0	9	left_only
1	4007495	4007495	0.0	5	0.0	0	7	left_only
1	4007497	4007497	0.0	5	0.0	0	8	left_only
1	4007498	4007498	0.0	5	0.0	0	6	left_only
1	4007511	4007511	0.0	5	0.0	0	7	left_only
1	4007513	4007513	0.0	5	0.0	0	8	left_only
1	4007655	4007655	0.0	5	0.337	1	15	left_only
1	4008405	4008405	0.0	5	0.0	0	4	left_only
1	4009713	4009713	0.0	5	0.439	1	10	left_only
1	4043393	4043393	0.0	5	0.297	1	18	left_only
1	4073320	4073320	0.0	5	0.0	0	7	left_only
1	4084769	4084769	0.0	5	0.918	1	2	left_only
1	3935913	3935913	0.0	5	0.0	0	3	left_only
1	3935915	3935915	0.0	5	0.0	0	6	left_only
1	3935924	3935924	0.0	5	0.0	0	3	left_only
1	3935926	3935926	0.0	5	0.0	0	4	left_only
1	3935949	3935949	0.0	5	0.0	0	4	left_only
1	3935955	3935955	0.0	5	0.0	0	4	left_only
1	3935957	3935957	0.0	5	0.0	0	4	left_only
